"","data_action"
"1","Other"
"2","Policy Change"
"3","First Party Collection/Use"
"4","First Party Collection/Use"
"5","First Party Collection/Use"
"6","First Party Collection/Use"
"7","First Party Collection/Use"
"8","First Party Collection/Use"
"9","First Party Collection/Use"
"10","Data Retention"
"11","Data Retention"
"12","First Party Collection/Use"
"13","First Party Collection/Use"
"14","First Party Collection/Use"
"15","First Party Collection/Use"
"16","First Party Collection/Use"
"17","First Party Collection/Use"
"18","First Party Collection/Use"
"19","First Party Collection/Use"
"20","International and Specific Audiences"
"21","Other"
"22","International and Specific Audiences"
"23","First Party Collection/Use"
"24","First Party Collection/Use"
"25","Other"
"26","First Party Collection/Use"
"27","First Party Collection/Use"
"28","First Party Collection/Use"
"29","Other"
"30","Third Party Sharing/Collection"
"31","Third Party Sharing/Collection"
"32","User Choice/Control"
"33","User Choice/Control"
"34","User Choice/Control"
"35","Third Party Sharing/Collection"
"36","Third Party Sharing/Collection"
"37","Policy Change"
"38","Other"
"39","User Choice/Control"
"40","User Choice/Control"
"41","User Access, Edit and Deletion"
"42","Other"
"43","Other"
"44","User Choice/Control"
"45","Other"
"46","Other"
"47","Other"
"48","First Party Collection/Use"
"49","Other"
"50","Other"
"51","First Party Collection/Use"
"52","First Party Collection/Use"
"53","First Party Collection/Use"
"54","First Party Collection/Use"
"55","First Party Collection/Use"
"56","First Party Collection/Use"
"57","First Party Collection/Use"
"58","First Party Collection/Use"
"59","First Party Collection/Use"
"60","First Party Collection/Use"
"61","First Party Collection/Use"
"62","First Party Collection/Use"
"63","First Party Collection/Use"
"64","First Party Collection/Use"
"65","First Party Collection/Use"
"66","Third Party Sharing/Collection"
"67","First Party Collection/Use"
"68","First Party Collection/Use"
"69","First Party Collection/Use"
"70","First Party Collection/Use"
"71","First Party Collection/Use"
"72","First Party Collection/Use"
"73","First Party Collection/Use"
"74","First Party Collection/Use"
"75","First Party Collection/Use"
"76","First Party Collection/Use"
"77","Other"
"78","First Party Collection/Use"
"79","First Party Collection/Use"
"80","First Party Collection/Use"
"81","Other"
"82","First Party Collection/Use"
"83","First Party Collection/Use"
"84","First Party Collection/Use"
"85","First Party Collection/Use"
"86","First Party Collection/Use"
"87","First Party Collection/Use"
"88","First Party Collection/Use"
"89","Third Party Sharing/Collection"
"90","Third Party Sharing/Collection"
"91","Third Party Sharing/Collection"
"92","Third Party Sharing/Collection"
"93","Other"
"94","Third Party Sharing/Collection"
"95","Third Party Sharing/Collection"
"96","First Party Collection/Use"
"97","Third Party Sharing/Collection"
"98","Other"
"99","Third Party Sharing/Collection"
"100","Other"
"101","Third Party Sharing/Collection"
"102","Third Party Sharing/Collection"
"103","Third Party Sharing/Collection"
"104","Third Party Sharing/Collection"
"105","Third Party Sharing/Collection"
"106","First Party Collection/Use"
"107","First Party Collection/Use"
"108","First Party Collection/Use"
"109","First Party Collection/Use"
"110","First Party Collection/Use"
"111","First Party Collection/Use"
"112","First Party Collection/Use"
"113","First Party Collection/Use"
"114","First Party Collection/Use"
"115","First Party Collection/Use"
"116","Other"
"117","First Party Collection/Use"
"118","Other"
"119","First Party Collection/Use"
"120","First Party Collection/Use"
"121","First Party Collection/Use"
"122","User Choice/Control"
"123","User Choice/Control"
"124","First Party Collection/Use"
"125","First Party Collection/Use"
"126","Other"
"127","First Party Collection/Use"
"128","Other"
"129","Third Party Sharing/Collection"
"130","Third Party Sharing/Collection"
"131","Third Party Sharing/Collection"
"132","Third Party Sharing/Collection"
"133","Other"
"134","Third Party Sharing/Collection"
"135","Third Party Sharing/Collection"
"136","Other"
"137","Third Party Sharing/Collection"
"138","Third Party Sharing/Collection"
"139","Third Party Sharing/Collection"
"140","Third Party Sharing/Collection"
"141","Third Party Sharing/Collection"
"142","Third Party Sharing/Collection"
"143","Policy Change"
"144","User Choice/Control"
"145","User Choice/Control"
"146","User Choice/Control"
"147","User Choice/Control"
"148","User Choice/Control"
"149","Other"
"150","Other"
"151","Third Party Sharing/Collection"
"152","Third Party Sharing/Collection"
"153","First Party Collection/Use"
"154","First Party Collection/Use"
"155","First Party Collection/Use"
"156","Third Party Sharing/Collection"
"157","First Party Collection/Use"
"158","First Party Collection/Use"
"159","First Party Collection/Use"
"160","First Party Collection/Use"
"161","Third Party Sharing/Collection"
"162","Other"
"163","First Party Collection/Use"
"164","First Party Collection/Use"
"165","Data Retention"
"166","First Party Collection/Use"
"167","Data Retention"
"168","User Choice/Control"
"169","First Party Collection/Use"
"170","Data Security"
"171","Data Security"
"172","Data Security"
"173","Data Security"
"174","Data Security"
"175","Data Security"
"176","Data Security"
"177","Data Security"
"178","Data Security"
"179","Data Security"
"180","Data Security"
"181","Data Security"
"182","Data Security"
"183","First Party Collection/Use"
"184","Other"
"185","User Access, Edit and Deletion"
"186","User Access, Edit and Deletion"
"187","User Access, Edit and Deletion"
"188","User Access, Edit and Deletion"
"189","User Access, Edit and Deletion"
"190","Policy Change"
"191","Policy Change"
"192","Policy Change"
"193","Policy Change"
"194","Other"
"195","Policy Change"
"196","Policy Change"
"197","Policy Change"
"198","Third Party Sharing/Collection"
"199","Other"
"200","Third Party Sharing/Collection"
"201","Third Party Sharing/Collection"
"202","Other"
"203","Third Party Sharing/Collection"
"204","Third Party Sharing/Collection"
"205","Third Party Sharing/Collection"
"206","Other"
"207","Other"
"208","Other"
"209","Policy Change"
"210","Other"
"211","Other"
"212","First Party Collection/Use"
"213","First Party Collection/Use"
"214","First Party Collection/Use"
"215","First Party Collection/Use"
"216","First Party Collection/Use"
"217","First Party Collection/Use"
"218","Other"
"219","Other"
"220","First Party Collection/Use"
"221","First Party Collection/Use"
"222","Other"
"223","First Party Collection/Use"
"224","First Party Collection/Use"
"225","First Party Collection/Use"
"226","First Party Collection/Use"
"227","First Party Collection/Use"
"228","First Party Collection/Use"
"229","First Party Collection/Use"
"230","First Party Collection/Use"
"231","Other"
"232","First Party Collection/Use"
"233","First Party Collection/Use"
"234","First Party Collection/Use"
"235","First Party Collection/Use"
"236","First Party Collection/Use"
"237","First Party Collection/Use"
"238","First Party Collection/Use"
"239","First Party Collection/Use"
"240","User Choice/Control"
"241","User Choice/Control"
"242","User Choice/Control"
"243","User Choice/Control"
"244","User Choice/Control"
"245","User Choice/Control"
"246","User Choice/Control"
"247","User Choice/Control"
"248","Other"
"249","First Party Collection/Use"
"250","First Party Collection/Use"
"251","First Party Collection/Use"
"252","First Party Collection/Use"
"253","First Party Collection/Use"
"254","First Party Collection/Use"
"255","First Party Collection/Use"
"256","First Party Collection/Use"
"257","First Party Collection/Use"
"258","First Party Collection/Use"
"259","First Party Collection/Use"
"260","First Party Collection/Use"
"261","First Party Collection/Use"
"262","First Party Collection/Use"
"263","Data Retention"
"264","Data Retention"
"265","Data Retention"
"266","Data Retention"
"267","First Party Collection/Use"
"268","First Party Collection/Use"
"269","First Party Collection/Use"
"270","First Party Collection/Use"
"271","First Party Collection/Use"
"272","First Party Collection/Use"
"273","First Party Collection/Use"
"274","First Party Collection/Use"
"275","First Party Collection/Use"
"276","First Party Collection/Use"
"277","First Party Collection/Use"
"278","First Party Collection/Use"
"279","Other"
"280","First Party Collection/Use"
"281","First Party Collection/Use"
"282","Other"
"283","First Party Collection/Use"
"284","First Party Collection/Use"
"285","First Party Collection/Use"
"286","First Party Collection/Use"
"287","First Party Collection/Use"
"288","First Party Collection/Use"
"289","First Party Collection/Use"
